City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,ducheng,23.2373,111.5317,9.58,34,59,0.78,CN,1734307988
312,brownwood,31.7093,-98.9912,23.0,60,75,5.14,US,1734307989
313,al khafji,28.4391,48.4913,11.78,40,0,7.2,SA,1734307990
314,kapuskasing,49.4169,-82.4331,-1.0,86,100,5.14,CA,1734307992
315,naha,26.2125,127.6811,16.95,57,75,6.17,JP,1734307993
316,fada,7.25,4.0667,21.44,56,22,0.94,NG,1734307994
317,amga,60.8953,131.9608,-34.49,100,100,0.87,RU,1734307995
318,sao vicente,-23.9631,-46.3919,26.1,26,4,3.89,BR,1734307996
319,novyy urengoy,66.0833,76.6333,-15.08,92,100,9.72,RU,1734307997
320,george town,5.4112,100.3354,26.64,88,20,1.54,MY,1734307921
321,puerto baquerizo moreno,-0.9,-89.6,23.55,83,20,5.66,EC,1734308000
322,berezovo,63.9381,65.0419,-16.93,94,100,3.56,RU,1734308001
323,yilan,24.757,121.753,13.58,77,100,1.31,TW,1734308002
324,betong,5.7743,101.0723,21.6,99,81,0.96,TH,1734308003
325,cidade velha,14.9167,-23.6167,25.04,74,100,2.46,CV,1734308004
326,kalymnos,36.95,26.9833,13.74,88,40,6.69,GR,1734308005
327,port hedland,-20.3167,118.5667,31.03,74,75,1.54,AU,1734308007
328,praia da vitoria,38.7333,-27.0667,16.76,90,75,2.32,PT,1734308008
329,riohacha,11.5444,-72.9072,27.06,83,20,3.6,CO,1734308009
330,mumford,5.2618,-0.759,27.1,79,11,2.11,GH,1734308010
331,tromso,69.6496,18.957,-4.99,58,75,10.8,NO,1734308011
332,caleta de carquin,-11.0925,-77.6267,20.13,87,97,4.16,PE,1734308012
333,northam,51.0333,-4.2167,10.7,92,95,6.68,GB,1734308013
334,kattivakkam,13.2167,80.3167,23.97,90,99,5.46,IN,1734308016
335,anna regina,7.2644,-58.5077,26.0,88,89,3.04,GY,1734308017
336,hithadhoo,-0.6,73.0833,27.78,80,38,6.83,MV,1734308018
337,mili,6.0815,171.735,28.41,77,89,7.87,MH,1734308019
338,tolanaro,-25.0319,46.9987,24.0,75,4,7.89,MG,1734308020
339,progreso,21.2833,-89.6667,23.52,83,18,5.09,MX,1734308022
340,smithers,54.7804,-127.1743,-4.64,89,94,0.87,CA,1734307802
341,val-d'or,48.1002,-77.7828,-8.95,86,75,5.66,CA,1734308024
342,san patricio,28.017,-97.5169,23.97,74,62,5.49,US,1734308025
343,alamosa,37.4695,-105.87,1.99,38,0,2.57,US,1734308026
344,bandar-e lengeh,26.5579,54.8807,18.83,51,13,10.37,IR,1734308027
345,dukku,10.8231,10.7717,17.62,33,100,3.26,NG,1734308029
346,vadso,70.0744,29.7487,-10.91,85,100,4.12,NO,1734308030
347,mhamid,29.82,-5.72,14.64,27,39,3.59,MA,1734308031
348,new norfolk,-42.7826,147.0587,21.07,41,66,2.08,AU,1734308032
349,saint-joseph,-21.3667,55.6167,23.21,80,17,4.87,RE,1734308034
350,bekovo,52.4663,43.712,-1.44,97,100,5.77,RU,1734308035
351,queenstown,-31.8976,26.8753,10.79,84,22,1.52,ZA,1734308037
352,bamboo flat,11.7,92.7167,25.99,87,99,9.61,IN,1734308038
353,hilo,19.7297,-155.09,26.85,68,0,5.14,US,1734308039
354,nouadhibou,20.931,-17.0347,23.99,43,100,3.6,MR,1734308041
355,ola,59.5833,151.2833,-14.66,79,100,7.25,RU,1734308042
356,puerto armuelles,8.2833,-82.8667,27.27,72,13,3.58,PA,1734308043
357,dom pedrito,-30.9828,-54.6731,18.64,77,99,4.22,BR,1734308044
358,fortuna,40.5982,-124.1573,9.4,83,100,8.23,US,1734308045
359,laascaanood,8.4774,47.3597,18.79,61,3,3.21,SO,1734308046
360,ain leuh,33.2921,-5.3384,8.78,24,49,2.22,MA,1734308047
361,ust-nera,64.5667,143.2,-24.74,95,100,1.03,RU,1734308048
